time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
54,2733,73,149504,0.0,-1.1920928955078125e-07,720,0.7808512972667814,-1.3139760994818062e-06,0.3705277740955353,1e-06,0.2,-1.6094378046691418,0.0,15800.666666666666,614.4444444444445
54,2770,74,151552,0.0,-1.1920928955078125e-07,730,0.7790125668048858,-1.4483433915302157e-06,0.3806300461292267,1e-06,0.2,-1.6094378054141998,0.0,15800.666666666666,614.4444444444445
54,2805,75,153600,0.0,-2.384185791015625e-07,740,168.42186775803566,-1.724372850731015e-07,121.40482330322266,1e-06,0.2,-1.6094377994537354,0.0,15800.666666666666,614.4444444444445
54,2840,76,155648,0.0,0.0,750,0.91395523250103,-5.587564373854547e-07,0.3967227339744568,1e-06,0.2,-1.6094377938658,0.0,15800.666666666666,614.4444444444445
54,2875,77,157696,0.0,0.0,760,0.8976890228688716,-9.65137587627396e-07,0.3859262764453888,1e-06,0.2,-1.6094377987086772,0.0,15800.666666666666,614.4444444444445
54,2909,78,159744,0.0,1.7881393432617188e-07,770,0.7830316407606006,-2.4678141926415264e-06,0.376844584941864,1e-06,0.2,-1.6094377871602774,0.0,15800.666666666666,614.4444444444445
54,2944,79,161792,0.0,0.0,780,152.45240198373796,-6.478148861788213e-07,92.43755340576172,1e-06,0.2,-1.609437769278884,0.0,15800.666666666666,614.4444444444445
54,2979,80,163840,0.0,0.0,790,0.7845276318490505,-2.014847268583253e-06,0.40288227796554565,1e-06,0.2,-1.6094377499073744,0.0,15800.666666666666,614.4444444444445
55,3013,81,165888,0.0,0.0,800,0.780957555025816,-8.331247954629362e-07,0.356479287147522,1e-06,0.2,-1.6094377309083938,0.0,15800.666666666666,614.4444444444445
55,3049,82,167936,0.0,0.0,810,0.7856001427397132,-1.3181663234718144e-06,0.37399962544441223,1e-06,0.2,-1.6094377141445875,0.0,16626.8,605.4
55,3083,83,169984,0.0,-3.5762786865234375e-07,820,152.2729300737381,-7.370326784439385e-07,61.604854583740234,1e-06,0.2,-1.6094377260655164,0.0,16626.8,605.4
55,3118,84,172032,0.0,0.0,830,0.7792901109904051,-1.0763484169729055e-06,0.40076079964637756,1e-06,0.2,-1.6094377163797617,0.0,16626.8,605.4
55,3162,85,174080,0.0,0.0,840,0.7832432733848691,-4.01233701268211e-06,0.38958442211151123,1e-06,0.2,-1.6094377301633358,0.0,16626.8,605.4
55,3199,86,176128,0.0,0.0,850,0.7799369873479008,-1.8301085219718517e-06,0.37291011214256287,1e-06,0.2,-1.6094377160072326,0.0,16626.8,605.4
55,3235,87,178176,0.0,0.0,860,121.30077564716339,-2.740984200499952e-07,74.04472351074219,1e-06,0.2,-1.6094377521425485,0.0,16626.8,605.4
55,3271,88,180224,0.0,0.0,870,0.9189781760796905,-1.2979056918993591e-06,0.42950862646102905,1e-06,0.2,-1.6094377484172582,0.0,16626.8,605.4
55,3306,89,182272,0.0,5.960464477539063e-08,880,0.8649380676448345,-1.1067961168009787e-06,0.4169797897338867,1e-06,0.2,-1.6094377379864455,0.0,16626.8,605.4
55,3342,90,184320,0.0,0.0,890,0.7843269344419241,-3.898036084137857e-07,0.35833820700645447,1e-06,0.2,-1.6094377152621746,0.0,16626.8,605.4
55,3378,91,186368,0.0,0.0,900,134.4707953810692,-4.7018693294376134e-08,99.52265167236328,1e-06,0.2,-1.6094377405941487,0.0,16626.8,605.4
55,3413,92,188416,0.0,0.0,910,0.7783278213813901,-1.0228934115730226e-06,0.3825989067554474,1e-06,0.2,-1.6094377484172582,0.0,16626.8,605.4
55,3448,93,190464,0.0,1.7881393432617188e-07,920,0.7812622014433146,-1.0546289558988065e-06,0.411042720079422,1e-06,0.2,-1.609437756985426,0.0,17302.727272727272,585.2727272727273
55,3484,94,192512,0.0,-1.1920928955078125e-07,930,59.2623595379293,-5.950820195721462e-07,38.39872741699219,1e-06,0.2,-1.6094377551227808,0.0,17302.727272727272,585.2727272727273
